package,version,imports,suggests,repository,description
fledge,0.1.0,"cli, desc (>= 1.2.0), enc, gert (>= 1.4.0), purrr (>= 0.3.2),
rematch2, rlang (>= 0.4.12), tibble, usethis (>= 1.5.0),
whoami, withr","mockery, covr, fansi, fs, knitr, parsedate, rmarkdown,
rstudioapi, testthat (>= 3.0.0), brio, callr, pkgload",https://cran.rstudio.com/src/contrib,"Streamlines the process of updating changelogs (NEWS.md)
    and versioning R packages developed in git repositories."
flow,0.0.2,"nomnoml, utils, htmlwidgets, rstudioapi, webshot, styler","testthat (>= 2.1.0), covr, knitr, rmarkdown",https://cran.rstudio.com/src/contrib,"Visualize as flow diagrams the logic of functions, expressions or 
  scripts in a static way or when running a call, and ease debugging. Advanced
  features include analogs to 'debug' and 'debugonce' to target specific functions to draw,
  an utility to draw the calls used in the tests of the package in a markdown report, 
  and an utility to draw all the functions of one package in a markdown report."
fmsb,0.7.3,,"Epi, vcd",https://cran.rstudio.com/src/contrib,"Several utility functions for the book entitled 
	""Practices of Medical and Health Data Analysis using R""
	(Pearson Education Japan, 2007) with Japanese demographic
	data and some demographic analysis related functions."
fontawesome,0.3.0,"rlang (>= 0.4.10), htmltools (>= 0.5.1.1)","covr, dplyr (>= 1.0.8), knitr (>= 1.31), testthat (>= 3.0.0),
rsvg",https://cran.rstudio.com/src/contrib,"Easily and flexibly insert 'Font Awesome' icons into 'R Markdown'
    documents and 'Shiny' apps. These icons can be inserted into HTML content
    through inline 'SVG' tags or 'i' tags. There is also a utility function for
    exporting 'Font Awesome' icons as 'PNG' images for those situations where
    raster graphics are needed."
forcats,0.5.1,"ellipsis, magrittr, rlang, tibble","covr, dplyr, ggplot2, knitr, readr, rmarkdown, testthat",https://cran.rstudio.com/src/contrib,"Helpers for reordering factor levels (including
    moving specified levels to front, ordering by first appearance,
    reversing, and randomly shuffling), and tools for modifying factor
    levels (including collapsing rare levels into other, 'anonymising',
    and manually 'recoding')."
foreach,1.5.1,"codetools, utils, iterators","randomForest, doMC, doParallel, testthat, knitr, rmarkdown",https://cran.rstudio.com/src/contrib,"Support for the foreach looping construct.  Foreach is an
        idiom that allows for iterating over elements in a collection,
        without the use of an explicit loop counter.  This package in
        particular is intended to be used for its return value, rather
        than for its side effects.  In that sense, it is similar to the
        standard lapply function, but doesn't require the evaluation
        of a function.  Using foreach without side effects also
        facilitates executing the loop in parallel."
foreign,0.8-82,"methods, utils, stats",,https://cran.rstudio.com/src/contrib,"Reading and writing data stored by some versions of
	'Epi Info', 'Minitab', 'S', 'SAS', 'SPSS', 'Stata', 'Systat', 'Weka',
	and for reading and writing some 'dBase' files."
Formula,1.2-4,,,https://cran.rstudio.com/src/contrib,"Infrastructure for extended formulas with multiple parts on the
             right-hand side and/or multiple responses on the left-hand side
	     (see <doi:10.18637/jss.v034.i01>)."
fs,1.5.2,methods,"testthat, covr, pillar (>= 1.0.0), tibble (>= 1.1.0), crayon,
rmarkdown, knitr, withr, spelling, vctrs (>= 0.3.0)",https://cran.rstudio.com/src/contrib,"A cross-platform interface to file system operations, built on
  top of the 'libuv' C library."
future,1.23.0,"digest, globals (>= 0.14.0), listenv (>= 0.8.0), parallel,
parallelly (>= 1.26.1), tools, utils","RhpcBLASctl, R.rsp, markdown",https://cran.rstudio.com/src/contrib,"The purpose of this package is to provide a lightweight and
    unified Future API for sequential and parallel processing of R
    expression via futures.  The simplest way to evaluate an expression
    in parallel is to use `x %<-% { expression }` with `plan(multisession)`.
    This package implements sequential, multicore, multisession, and
    cluster futures.  With these, R expressions can be evaluated on the
    local machine, in parallel a set of local machines, or distributed
    on a mix of local and remote machines.
    Extensions to this package implement additional backends for
    processing futures via compute cluster schedulers, etc.
    Because of its unified API, there is no need to modify any code in order
    switch from sequential on the local machine to, say, distributed
    processing on a remote compute cluster.
    Another strength of this package is that global variables and functions
    are automatically identified and exported as needed, making it
    straightforward to tweak existing code to make use of futures."
future.apply,1.8.1,"globals (>= 0.14.0), parallel, utils","datasets, stats, tools, listenv (>= 0.8.0), R.rsp, markdown",https://cran.rstudio.com/src/contrib,"Implementations of apply(), by(), eapply(), lapply(), Map(), .mapply(), mapply(), replicate(), sapply(), tapply(), and vapply() that can be resolved using any future-supported backend, e.g. parallel on the local machine or distributed on a compute cluster.  These future_*apply() functions come with the same pros and cons as the corresponding base-R *apply() functions but with the additional feature of being able to be processed via the future framework."
fuzzyjoin,0.1.6,"stringdist, stringr, dplyr (>= 0.8.1), tidyr (>= 0.4.0),
purrr, geosphere, tibble","testthat, knitr, ggplot2, qdapDictionaries, readr, rvest,
rmarkdown, maps, IRanges, covr",https://cran.rstudio.com/src/contrib,"Join tables together based not on whether columns
  match exactly, but whether they are similar by some comparison.
  Implementations include string distance and regular expression
  matching."
gagglr,0.0.0.9000,"dplyr,
git2r,
magrittr,
sessioninfo,
stringr,
tibble,
usethis",,"https://github.com/USAID-OHA-SI/gagglr,https://usaid-oha-si.github.io/gagglr/","Since package are developed with a regular update cycle, users 
  can often be using outdated packages that resolve bug or add new features. This
  checks to ensure you are using the lastest version of the 
  OHA core package and allows you to load them all at the start of a session."
gargle,1.2.0,"cli (>= 3.0.0), fs (>= 1.3.1), glue (>= 1.3.0), httr (>=
1.4.0), jsonlite, rappdirs, rlang (>= 0.4.9), rstudioapi,
stats, utils, withr","aws.ec2metadata, aws.signature, covr, httpuv, knitr, mockr,
rmarkdown, sodium, spelling, testthat (>= 3.0.0)",https://cran.rstudio.com/src/contrib,"Provides utilities for working with Google APIs
    <https://developers.google.com/apis-explorer>.  This includes
    functions and classes for handling common credential types and for
    preparing, executing, and processing HTTP requests."
generics,0.1.3,methods,"covr, pkgload, testthat (>= 3.0.0), tibble, withr",https://cran.rstudio.com/src/contrib,"In order to reduce potential package dependencies
    and conflicts, generics provides a number of commonly used S3
    generics."
geojson,0.3.4,"methods, sp, jsonlite (>= 1.6), protolite (>= 1.8), jqr (>=
1.1.0), magrittr, lazyeval","geojsonlint (>= 0.2.0), tibble, testthat, knitr, rmarkdown,
sf, stringi",https://cran.rstudio.com/src/contrib,"Classes for 'GeoJSON' to make working with 'GeoJSON' easier.
    Includes S3 classes for 'GeoJSON' classes with brief summary output,
    and a few methods such as extracting and adding bounding boxes,
    properties, and coordinate reference systems; working with 
    newline delimited 'GeoJSON'; linting through the 'geojsonlint' 
    package; and serializing to/from 'Geobuf' binary 'GeoJSON' 
    format."
geojsonio,0.9.4,"methods, sp, sf (>= 0.6), geojsonsf, rgeos, crul, maptools,
jsonlite (>= 0.9.21), magrittr, readr (>= 0.2.2), V8, geojson
(>= 0.2.0), jqr","gistr, testthat, leaflet, maps, DBI, RPostgres",https://cran.rstudio.com/src/contrib,"Convert data to 'GeoJSON' or 'TopoJSON' from various R classes,
    including vectors, lists, data frames, shape files, and spatial classes.
    'geojsonio' does not aim to replace packages like 'sp', 'rgdal', 'rgeos',
    but rather aims to be a high level client to simplify conversions of data
    from and to 'GeoJSON' and 'TopoJSON'."
geojsonlint,0.4.0,"crul (>= 0.7.0), jsonlite (>= 0.9.19), jsonvalidate (>=
1.0.0), V8","testthat, knitr, rmarkdown",https://cran.rstudio.com/src/contrib,"Tools for linting 'GeoJSON'. Includes tools for interacting with the
    online tool <http://geojsonlint.com>, the 'Javascript' library 'geojsonhint'
    (<https://www.npmjs.com/package/geojsonhint>), and validating against a
    'GeoJSON' schema via the 'Javascript' library
    (<https://www.npmjs.com/package/is-my-json-valid>). Some tools work locally
    while others require an internet connection."
geojsonsf,2.0.1,Rcpp,"covr, jsonify, knitr, rmarkdown, tinytest",https://cran.rstudio.com/src/contrib,Converts Between GeoJSON and simple feature objects.
geometries,0.2.0,Rcpp,"covr, knitr, rmarkdown, tinytest",https://cran.rstudio.com/src/contrib,"Geometry shapes in 'R' are typically represented by matrices (points, lines), with more complex 
  shapes being lists of matrices (polygons). 'Geometries' will convert various 'R' objects into these shapes. 
  Conversion functions are available at both the 'R' level, and through 'Rcpp'."
geomtextpath,0.1.0,"grid, scales, systemfonts, rlang, textshaping","testthat (>= 3.0.0), covr, knitr, rmarkdown, ragg, qpdf",https://allancameron.github.io/geomtextpath,"Allows text to follow curved paths in ggplot2.
    This allows for neat labelling of curves and of plots in polar co-ordinates."
geosphere,1.5-14,sp,"methods, raster",https://cran.rstudio.com/src/contrib,"Spherical trigonometry for geographic applications. That is, compute distances and related measures for angular (longitude/latitude) locations. "
gert,1.6.0,"askpass, credentials (>= 1.2.1), openssl (>= 1.4.1),
rstudioapi (>= 0.11), sys, zip (>= 2.1.0)","spelling, knitr, rmarkdown, testthat",https://cran.rstudio.com/src/contrib,"Simple git client for R based on 'libgit2' <https://libgit2.org> with
    support for SSH and HTTPS remotes. All functions in 'gert' use basic R data 
    types (such as vectors and data-frames) for their arguments and return values.
    User credentials are shared with command line 'git' through the git-credential
    store and ssh keys stored on disk or ssh-agent."
getPass,0.2-2,"utils, rstudioapi (>= 0.5)",argon2,https://cran.rstudio.com/src/contrib,"A micro-package for reading ""passwords"", i.e.  reading
    user input with masking, so that the input is not displayed as it 
    is typed.  Currently we have support for 'RStudio', the command line
    (every OS), and any platform where 'tcltk' is present.  "
getrdone,0.0.0.9000,"magrittr,
dplyr,
ggplot2,
utils,
purrr,
tidyr,
glue,
ggtext,
sf,
forcats,
tidyselect,
knitr,
googlesheets4,
stringr,",,https://github.com/tessam30/getrdone,This package is designed for working with PEPFAR data focused on Zambia. Numerous munging and plotting functions are provided to quickly process and visualize MSD data.
ggalluvial,0.12.3,"stats, dplyr (>= 0.7), tidyr (>= 0.7), lazyeval, rlang,
tidyselect","grid, alluvial, testthat, knitr, rmarkdown, babynames,
sessioninfo, ggrepel, shiny (>= 1.4.0.2), htmltools, sp (>=
1.4-0), ggfittext (>= 0.6), vdiffr (>= 0.2)",https://cran.rstudio.com/src/contrib,"Alluvial plots use variable-width ribbons and stacked bar plots to
    represent multi-dimensional or repeated-measures data with categorical or
    ordinal variables; see Riehmann, Hanfler, and Froehlich (2005)
    <doi:10.1109/INFVIS.2005.1532152> and Rosvall and Bergstrom (2010)
    <doi:10.1371/journal.pone.0008694>.
    Alluvial plots are statistical graphics in the sense of Wilkinson (2006)
    <doi:10.1007/0-387-28695-0>; they share elements with Sankey diagrams and
    parallel sets plots but are uniquely determined from the data and a small
    set of parameters. This package extends Wickham's (2010)
    <doi:10.1198/jcgs.2009.07098> layered grammar of graphics to generate
    alluvial plots from tidy data."
ggbeeswarm,0.6.0,"beeswarm, vipor",gridExtra,https://cran.rstudio.com/src/contrib,"Provides two methods of plotting categorical scatter plots such
    that the arrangement of points within a category reflects the density of
    data at that region, and avoids over-plotting."
ggchicklet,0.5.2,"ggplot2, grid","covr, hrbrthemes, dplyr, forcats, knitr, rmarkdown, tinytest",https://git.rud.is/hrbrmstr/ggchicklet,"Sometimes it is useful to stylize column charts a bit more
        than just bland rectangles. Methods are provided to create
        rounded rectangle segmented column charts (i.e. 'chicklets')."
ggdist,3.0.1,"tidyselect, dplyr (>= 1.0.0), ggplot2 (>= 3.3.5), rlang (>=
0.3.0), scales, grid, HDInterval, tibble, vctrs, withr,
distributional (>= 0.2.2)","knitr, testthat, vdiffr (>= 1.0.0), svglite, broom (>=
0.5.6), modelr, cowplot, covr, gdtools, rmarkdown, png, fda,
forcats, purrr (>= 0.2.3), tidyr (>= 1.0.0), beeswarm (>=
0.4.0), posterior, pkgdown",https://cran.rstudio.com/src/contrib,"Provides primitives for visualizing distributions using 'ggplot2' that are particularly tuned for
    visualizing uncertainty in either a frequentist or Bayesian mode. Both analytical distributions (such as 
    frequentist confidence distributions or Bayesian priors) and distributions represented as samples (such as 
    bootstrap distributions or Bayesian posterior samples) are easily visualized. Visualization primitives include
    but are not limited to: points with multiple uncertainty intervals, 
    eye plots (Spiegelhalter D., 1999) <doi:10.1111/1467-985X.00120>,
    density plots, gradient plots, dot plots (Wilkinson L., 1999) <doi:10.1080/00031305.1999.10474474>,
    quantile dot plots (Kay M., Kola T., Hullman J., Munson S., 2016) <doi:10.1145/2858036.2858558>,
    complementary cumulative distribution function 
    barplots (Fernandes M., Walls L., Munson S., Hullman J., Kay M., 2018) <doi:10.1145/3173574.3173718>,
    and fit curves with multiple uncertainty ribbons."
ggfittext,0.9.1,"grid (>= 3.1), stringi (>= 1.1.2), ggplot2 (>= 2.2.1), shades
(>= 1.3.1)","knitr, rmarkdown, testthat, vdiffr, spelling",https://cran.rstudio.com/src/contrib,"Provides 'ggplot2' geoms to fit text into a box by growing, shrinking
    or wrapping the text."
ggforce,0.3.3,"Rcpp (>= 0.12.2), grid, scales, MASS, tweenr (>= 0.1.5),
gtable, rlang, polyclip, stats, grDevices, tidyselect, withr,
utils","sessioninfo, concaveman, deldir, reshape2, units (>= 0.4-6),
covr",https://cran.rstudio.com/src/contrib,"The aim of 'ggplot2' is to aid in visual data investigations. This
    focus has led to a lack of facilities for composing specialised plots.
    'ggforce' aims to be a collection of mainly new stats and geoms that fills
    this gap. All additional functionality is aimed to come through the official
    extension system so using 'ggforce' should be a stable experience."
ggfx,1.0.0,"magick (>= 2.7.1), ragg, grid, ggplot2, grDevices, gtable,
rlang","covr, knitr, rmarkdown, farver (>= 2.1.0)",https://cran.rstudio.com/src/contrib,"Provides a range of filters that can be applied to layers from the 
    'ggplot2' package and its extensions, along with other graphic elements such 
    as guides and theme elements. The filters are applied at render time and 
    thus uses the exact pixel dimensions needed."
gghalves,0.1.1,"grid, gtable, grDevices","knitr, rmarkdown, dplyr",https://cran.rstudio.com/src/contrib,"A 'ggplot2' extension for easy plotting of half-half geom combinations. Think half boxplot and half jitterplot, or half violinplot and half dotplot."
ggnewscale,0.4.5,ggplot2 (>= 3.0.0),"testthat, vdiffr, covr",https://cran.rstudio.com/src/contrib,Use multiple fill and colour scales in 'ggplot2'.
ggpattern,0.2.0,"ggplot2, glue, grid, gridpattern (>= 0.2.1), rlang, scales,","ambient, dplyr, gganimate, knitr, magick, mapproj, maps,
memoise, png, readr, rmarkdown, sf (>= 0.7-3), testthat (>=
2.1.0), vdiffr","http://github.com/coolbutuseless/ggpattern,
https://coolbutuseless.github.io/package/ggpattern/index.html",Geoms with patterns for ggplot2.
ggplot2,3.3.6,"digest, glue, grDevices, grid, gtable (>= 0.1.1), isoband,
MASS, mgcv, rlang (>= 0.4.10), scales (>= 0.5.0), stats,
tibble, withr (>= 2.0.0)","covr, ragg, dplyr, ggplot2movies, hexbin, Hmisc, interp,
knitr, lattice, mapproj, maps, maptools, multcomp, munsell,
nlme, profvis, quantreg, RColorBrewer, rgeos, rmarkdown, rpart,
sf (>= 0.7-3), svglite (>= 1.2.0.9001), testthat (>= 2.1.0),
vdiffr (>= 1.0.0), xml2",https://cran.rstudio.com/src/contrib,"A system for 'declaratively' creating graphics,
    based on ""The Grammar of Graphics"". You provide the data, tell 'ggplot2'
    how to map variables to aesthetics, what graphical primitives to use,
    and it takes care of the details."
ggpubr,0.4.0,"ggrepel, grid, ggsci, stats, utils, tidyr, purrr, dplyr (>=
0.7.1), cowplot, ggsignif, scales, gridExtra, glue, polynom,
rlang, rstatix (>= 0.6.0), tibble, magrittr","grDevices, knitr, RColorBrewer, gtable",https://cran.rstudio.com/src/contrib,"The 'ggplot2' package is excellent and flexible for elegant data
    visualization in R. However the default generated plots requires some formatting
    before we can send them for publication. Furthermore, to customize a 'ggplot',
    the syntax is opaque and this raises the level of difficulty for researchers
    with no advanced R programming skills. 'ggpubr' provides some easy-to-use
    functions for creating and customizing 'ggplot2'- based publication ready plots."
ggrepel,0.9.1,"grid, Rcpp, rlang (>= 0.3.0), scales (>= 0.5.0)","knitr, rmarkdown, testthat, gridExtra, devtools, prettydoc,
ggbeeswarm, dplyr, magrittr, readr, stringr",https://cran.rstudio.com/src/contrib,"Provides text and label geoms for 'ggplot2' that help to avoid
    overlapping text labels. Labels repel away from each other and away from the
    data points."
ggridges,0.5.3,"ggplot2 (>= 3.0.0), grid (>= 3.0.0), plyr (>= 1.8.0), scales
(>= 0.4.1), withr (>= 2.1.1)","covr, dplyr, patchwork, ggplot2movies, forcats, knitr,
rmarkdown, testthat, vdiffr",https://cran.rstudio.com/src/contrib,Ridgeline plots provide a convenient way of visualizing changes in distributions over time or space. This package enables the creation of such plots in 'ggplot2'.
ggsci,2.9,"grDevices, scales, ggplot2 (>= 2.0.0)","knitr, rmarkdown, gridExtra, reshape2",https://cran.rstudio.com/src/contrib,"A collection of 'ggplot2' color palettes inspired by
    plots in scientific journals, data visualization libraries,
    science fiction movies, and TV shows."
ggsflabel,0.0.1,"sf, ggrepel, rlang",testthat,https://yutannihilation.github.io/ggsflabel/,Provides text and label geoms for 'ggplot2' that automatically retrieve cooridnates from 'sf' data.
ggshapes,0.0.0.9000,tidyr,covr,https://github.com/EmilHvitfeldt/ggshapes,"This will add various practical and impractical shapes to be 
    produced in 'ggplot2'. These shapes and curves will complement the
    circle and regular polygon geoms in the 'ggforce' package."
ggsignif,0.6.3,ggplot2 (>= 3.3.5),"knitr, rmarkdown, spelling, testthat, vdiffr (>= 1.0.2)",https://cran.rstudio.com/src/contrib,"Enrich your 'ggplots' with group-wise comparisons.
    This package provides an easy way to indicate if two groups are
    significantly different. Commonly this is shown by a bracket on top
    connecting the groups of interest which itself is annotated with the
    level of significance (NS, *, **, ***).  The package provides a single
    layer (geom_signif()) that takes the groups for comparison and the
    test (t.test(), wilcox.text() etc.) as arguments and adds the
    annotation to the plot."
ggtext,0.1.1,"ggplot2 (>= 3.3.0), grid, gridtext, rlang, scales","cowplot, dplyr, glue, knitr, rmarkdown, testthat, vdiffr",https://cran.rstudio.com/src/contrib,"A 'ggplot2' extension that enables the rendering of
    complex formatted plot labels (titles, subtitles, facet labels,
    axis labels, etc.). Text boxes with automatic word wrap are also
    supported."
ggthemes,4.2.4,"ggplot2 (>= 3.0.0), graphics, grid, methods, purrr, scales,
stringr, tibble","dplyr, covr, extrafont, glue, knitr, lattice, lintr, maps,
mapproj, pander, rlang, rmarkdown, spelling, testthat, tidyr,
vdiffr, withr",https://cran.rstudio.com/src/contrib,"Some extra themes, geoms, and scales for 'ggplot2'.
    Provides 'ggplot2' themes and scales that replicate the look of plots
    by Edward Tufte, Stephen Few, 'Fivethirtyeight', 'The Economist', 'Stata',
    'Excel', and 'The Wall Street Journal', among others.
    Provides 'geoms' for Tufte's box plot and range frame."
ggTimeSeries,1.0.1,"data.table, stats, utils","knitr, rmarkdown, ggthemes, prettydoc",https://github.com/Ather-Energy/ggTimeSeries,Provides additional display mediums for time series visualisations.
ggwaffle,0.2.2,,,https://github.com/liamgilbey/ggwaffle,Creates waffle charts in a ggplot2-friendly way.
gh,1.3.0,"cli (>= 2.0.1), gitcreds, httr (>= 1.2), ini, jsonlite","covr, knitr, mockery, rmarkdown, rprojroot, spelling,
testthat (>= 2.3.2), withr",https://cran.rstudio.com/src/contrib,Minimal client to access the 'GitHub' 'API'.
gisr,0.2.1,"readr, dplyr (>= 1.0.0), tidyr, magrittr, purrr, stringr,
tibble, ggplot2, raster, sp, rnaturalearth, methods, crayon,
httr, janitor, jsonlite, zip, glue","knitr, rmarkdown, testthat, here, rgdal, rgeos, sf,
rnaturalearthdata, rnaturalearthhires, osmdata, patchwork,
glamr, glitr, googledrive, googlesheets4",https://github.com/USAID-OHA-SI/gisr,R Spatial functions for HIV/AIDS related Geospatial Analytics.
git2r,0.30.1,"graphics, utils",getPass,https://cran.rstudio.com/src/contrib,"Interface to the 'libgit2' library, which is a pure C
    implementation of the 'Git' core methods. Provides access to 'Git'
    repositories to extract data and running some basic 'Git'
    commands."
gitcreds,0.1.1,,"codetools, testthat, knitr, mockery, oskeyring, rmarkdown,
withr",https://cran.rstudio.com/src/contrib,"Query, set, delete credentials from the 'git' credential
    store. Manage 'GitHub' tokens and other 'git' credentials. This package
    is to be used by other packages that need to authenticate to 'GitHub'
    and/or other 'git' repositories."
glamr,1.0.4,"aws.s3,
crayon,
dplyr,
glue,
googledrive,
lubridate,
magrittr,
purrr,
stringr,
tools,
tidyr,
usethis,
utils","curl,
fs,
zip,
httr,
googlesheets4,
janitor,
jsonlite,
keyring,
keyringr,
knitr,
plyr,
rmarkdown,
readxl,
rvest,
testthat (>= 2.1.0),
tibble,
xml2,
vroom,
countrycode",https://github.com/USAID-OHA-SI/glamr,"Provides a series of base functions useful to the GH OHA SI team. This
    includes project setup, pulling from DATIM, and key functions for working with the MSD."
glitr,0.1.1,"ggplot2 (>= 3.3.0),
ggtext,
magrittr,
scales,
usethis,
extrafont,
lifecycle","rmarkdown,
markdown,
knitr,
testthat,
dplyr,
forcats,
tidyr,
patchwork,
sf,
purrr",https://github.com/USAID-OHA-SI/glitr,"Helps create and export ggplot2 charts in the style used by 
    the GH OHA SI team. Includes multiple styles and themes to tweak plots
    to user needs. Sample testing data also available. "
globals,0.14.0,codetools,,https://cran.rstudio.com/src/contrib,"Identifies global (""unknown"" or ""free"") objects in R expressions
    by code inspection using various strategies (ordered, liberal, or
    conservative).  The objective of this package is to make it as simple as
    possible to identify global objects for the purpose of exporting them in
    parallel, distributed compute environments."
glue,1.6.2,methods,"covr, crayon, DBI, dplyr, forcats, ggplot2, knitr, magrittr,
microbenchmark, R.utils, rmarkdown, rprintf, RSQLite, stringr,
testthat (>= 3.0.0), vctrs (>= 0.3.0), waldo (>= 0.3.0), withr",https://cran.rstudio.com/src/contrib,"An implementation of interpreted string literals, inspired by
    Python's Literal String Interpolation
    <https://www.python.org/dev/peps/pep-0498/> and Docstrings
    <https://www.python.org/dev/peps/pep-0257/> and Julia's Triple-Quoted
    String Literals
    <https://docs.julialang.org/en/v1.3/manual/strings/#Triple-Quoted-String-Literals-1>."
gmailr,1.0.1,"base64enc, crayon, gargle, httr, jsonlite, lifecycle,
magrittr, mime, rematch2","covr, knitr, methods, rmarkdown, sodium, testthat",https://cran.rstudio.com/src/contrib,"An interface to the 'Gmail' 'RESTful' API.  Allows access to
    your 'Gmail' messages, threads, drafts and labels."
googledrive,2.0.0,"cli (>= 3.0.0), gargle (>= 1.2.0), glue (>= 1.4.2), httr,
jsonlite, lifecycle, magrittr, pillar, purrr (>= 0.2.3), rlang
(>= 0.4.9), tibble (>= 2.0.0), utils, uuid, vctrs (>= 0.3.0),
withr","covr, curl, downlit, dplyr (>= 1.0.0), knitr, mockr,
rmarkdown, roxygen2, sodium, spelling, testthat (>= 3.0.0)",https://cran.rstudio.com/src/contrib,Manage Google Drive files from R.
googlesheets4,1.0.0,"cellranger, cli (>= 3.0.0), curl, gargle (>= 1.2.0), glue (>=
1.3.0), googledrive (>= 2.0.0), httr, ids, magrittr, methods,
purrr, rematch2, rlang (>= 0.4.11), tibble (>= 2.1.1), utils,
vctrs (>= 0.2.3)","covr, readr, rmarkdown, sodium, spelling, testthat (>=
3.0.0), withr",https://cran.rstudio.com/src/contrib,"Interact with Google Sheets through the Sheets API v4
    <https://developers.google.com/sheets/api>. ""API"" is an acronym for
    ""application programming interface""; the Sheets API allows users to
    interact with Google Sheets programmatically, instead of via a web
    browser. The ""v4"" refers to the fact that the Sheets API is currently
    at version 4. This package can read and write both the metadata and
    the cell data in a Sheet."
gower,0.2.2,,"tinytest (>= 0.9.3),",https://cran.rstudio.com/src/contrib,"Compute Gower's distance (or similarity) coefficient between records. Compute 
    the top-n matches between records. Core algorithms are executed in parallel on systems
    supporting OpenMP."
gplots,3.1.3,"gtools, stats, caTools, KernSmooth, methods","grid, MASS, knitr, r2d2",https://cran.rstudio.com/src/contrib,"Various R programming tools for plotting data, including:
  - calculating and plotting locally smoothed summary function as
    ('bandplot', 'wapply'),
  - enhanced versions of standard plots ('barplot2', 'boxplot2',
    'heatmap.2', 'smartlegend'),
  - manipulating colors ('col2hex', 'colorpanel', 'redgreen',
    'greenred', 'bluered', 'redblue', 'rich.colors'),
  - calculating and plotting two-dimensional data summaries ('ci2d',
    'hist2d'),
  - enhanced regression diagnostic plots ('lmplot2', 'residplot'),
  - formula-enabled interface to 'stats::lowess' function ('lowess'),
  - displaying textual data in plots ('textplot', 'sinkplot'),
  - plotting a matrix where each cell contains a dot whose size
    reflects the relative magnitude of the elements ('balloonplot'),
  - plotting ""Venn"" diagrams ('venn'),
  - displaying Open-Office style plots ('ooplot'),
  - plotting multiple data on same region, with separate axes
    ('overplot'),
  - plotting means and confidence intervals ('plotCI', 'plotmeans'),
  - spacing points in an x-y plot so they don't overlap ('space')."
gridExtra,2.3,"gtable, grid, grDevices, graphics, utils","ggplot2, egg, lattice, knitr, testthat",https://cran.rstudio.com/src/contrib,"Provides a number of user-level functions to work with ""grid""
    graphics, notably to arrange multiple grid-based plots on a page, and draw
    tables."
gridGeometry,0.2-0,"grDevices, polyclip (>= 1.10-0)","graphics, lattice",https://cran.rstudio.com/src/contrib,"Functions for performing polygon geometry with 'grid' grobs.
             This allows complex shapes to be defined by combining simpler
             shapes."
gridpattern,0.4.0,"glue, grDevices, grid, memoise, png, rlang, sf, utils","ambient, knitr, magick, ragg, rmarkdown, testthat, vdiffr",https://cran.rstudio.com/src/contrib,"Provides 'grid' grobs that fill in a user-defined area with various patterns.  Includes enhanced versions of the geometric and image-based patterns originally contained in the 'ggpattern' package as well as original 'pch', 'polygon_tiling', 'regular_polygon', 'rose', 'text', 'wave', and 'weave' patterns plus support for custom user-defined patterns."
gridtext,0.1.4,"grid, grDevices, markdown, rlang, Rcpp, RCurl, png, jpeg,
stringr, xml2","covr, knitr, rmarkdown, testthat, vdiffr",https://cran.rstudio.com/src/contrib,"Provides support for rendering of formatted text using 'grid' graphics. Text can be
    formatted via a minimal subset of 'Markdown', 'HTML', and inline 'CSS' directives, and it can be
    rendered both with and without word wrap."
gt,0.6.0,"base64enc (>= 0.1-3), bitops (>= 1.0.6), checkmate (>= 2.0.0),
commonmark (>= 1.7), dplyr (>= 1.0.8), fs (>= 1.5.2), ggplot2
(>= 3.3.5), glue (>= 1.6.1), htmltools (>= 0.5.2), magrittr (>=
2.0.2), rlang (>= 1.0.1), sass (>= 0.4.0), scales (>= 1.1.1),
stringr (>= 1.4.0), tibble (>= 3.1.6), tidyselect (>= 1.1.1)","covr, knitr, paletteer, testthat (>= 2.1.0), RColorBrewer,
lubridate, rmarkdown, rvest, shiny, tidyr, webshot, xml2",https://cran.rstudio.com/src/contrib,"Build display tables from tabular data with an easy-to-use set of
    functions. With its progressive approach, we can construct display tables
    with a cohesive set of table parts. Table values can be formatted using any
    of the included formatting functions. Footnotes and cell styles can be 
    precisely added through a location targeting system. The way in which 'gt'
    handles things for you means that you don't often have to worry about the
    fine details."
gtable,0.3.0,grid,"covr, testthat, knitr, rmarkdown, ggplot2, profvis",https://cran.rstudio.com/src/contrib,"Tools to make it easier to work with ""tables"" of
    'grobs'. The 'gtable' package defines a 'gtable' grob class that specifies a
    grid along with a list of grobs and their placement in the grid. Further the
    package makes it easy to manipulate and combine 'gtable' objects so that 
    complex compositions can be build up sequentially."
gtExtras,0.2.1,"base64enc (>= 0.1-3), bitops (>= 1.0.6), checkmate (>= 2.0.0),
dplyr (>= 0.8.5), fs (>= 1.3.2), ggplot2 (>= 3.3.0), glue (>=
1.3.2), gt (>= 0.3), htmltools (>= 0.5.0), magrittr (>= 1.5),
rlang (>= 0.4.5), sass (>= 0.1.1), scales (>= 1.1.0), stringr
(>= 1.3.1), tibble (>= 3.0.0), tidyselect (>= 1.0.0),
paletteer, fontawesome, webshot","testthat (>= 2.1.0), RColorBrewer, rmarkdown, rvest, knitr,
tidyr",https://github.com/jthomasmock/gtExtras,Provides utility functions and common use-cases applied via the gt package.
